 djn-subject code,name,category,default
N/POV,Point of View,Market News,N
N/HOH,News Highlights,Market News,N
N/WLS,Stories from WSJ.com,Hand-picked Publishers,N
N/BLOG,Content Sourced from Blogs,Hand-picked Publishers,N
N/NJR,Nikkei Japan Report,Hand-picked Publishers,N
N/BRN,Barron's on Newswires,Hand-picked Publishers,N
N/JIE,Stories from WSJ.com,Hand-picked Publishers,N
N/WAA,Stories from WSJ.com,Hand-picked Publishers,N
N/MKWH,MarketWatch Stories on Newswires,Hand-picked Publishers,N
N/AWJ,Stories from WSJ.com,Hand-picked Publishers,N
N/WAE,Stories from WSJ.com,Hand-picked Publishers,N
N/PEC,Private Companies,Others,N
N/NET,Internet,Others,N
N/TAB,Tabular Material,Others,N
N/PLT,Politics,Others,N
N/PBP,Public-Policy & Regulatory Issues,Others,N
N/VCF,Venture Capital Financing,Others,N
N/SHC,Share Capital,Others,N
N/ELX,"Elections, U.S.",Others,N
N/TRD,Trade Issues,Others,N
N/ENV,Environmental News,Others,N
N/ITP,Information Technology Policy & Issues,Others,N
N/COGV,Corporate Governance,Others,N
N/AGN,Government Agency Securities,Others,N
N/CMY,"Charities, Community & Civic Groups",Others,N
N/RGU,Securities Regulations,Others,N
N/TRR,Stock Trading Resumptions,Others,N
N/FF,DJ Corporate Filings Alert,Regulartory Filings,N
N/144,Form 144 Filings,Regulartory Filings,N
N/8K,Significant Corporate Events (SEC Form 8-K),Regulartory Filings,N
N/13F,Equity Portfolios of $100 Million (13-F),Regulartory Filings,N
N/REG,Bond & Stock Registrations,Regulartory Filings,N
N/INI,Initial Public Offerings,Regulartory Filings,N
N/13FM,13F Money Managers Filings,Regulartory Filings,N
N/OWN,Stock Ownership,Regulartory Filings,N
N/ORI,All Original Filings,Regulartory Filings,N
N/MTG,Annual Meetings,Regulartory Filings,N
